fhdi_herb_id,herb_latin_name,herb_english_name,herb_pinyin_name,herb_chinese_name,properties,function ,indication,therapeutic_class
h00170,euphorbia pekinensis,peking euphorbia,da ji 3,,not specified,to drain water and expel rheum dissipate binds and disperse swelling,edema seeper in chest and abdomen phlegmrheum inhibited urine and stool swollen welling abscess scrofula,not specified
h00172,lysimachia christinae,christina loosestrife,da jin qian cao,,not specified,to disinhibit water and free strangury clear heat and resolve toxin dissipate stasis and disperse swelling,gallstones calculus of urinary system heat strangury nephritis with edema dampheat jaundice swollen welling abscess sore and boil poisonous snake bite knocks and falls,not specified
h00173,cuscuta japonica,japanese dodder seed,da tu si zi,,not specified,see cuscuta chinensis,see cuscuta chinensis ,not specified
h00175,selaginella doederleinii,doederleins spikemoss,da ye cai,,not specified,to clear heat and resolve toxin dispel wind and eliminate damp,swelling pain in throat red eyes with gall lung heat cough mastitis dampheat jaundice winddamp impediment pain bleeding due to external injury,not specified
h00176,ampelopsis megalophylla,largeleaf ampelopsis,da ye she pu tao,,not specified,to clear heat and disinhibit damp calm liver and lower blood pressure quicken blood and free network vessels,dysentery diarrhea dribbling pain of urination hypertension dizzy head and distention eyes knocks and falls,not specified
h00177,rabdosia macrophylla,largeleaf rabdosia,da ye xiang cha cai,,not specified,not specified,not specified,not specified
h00179,not specified,gleditsiae fructus,da zao jia,,not specified,not specified,not specified,phlegresolving medicine
h00180,semen sojae praeparata,fermented soybean,dan dou chi,,cold pungent,to induce diaphoresis to ease the mind and to relieve fever,treatment of chills fever and headache in colds and influenza vexation oppressed feeling in the chest and insomnia,pungent cool diaphoretics
h00181,reseda luteola,not specified,dan huang mu xi cao,,not specified,to effuse sweat disinhibit urine,not specified,not specified
h00182,salvia miltiorrhiza,radix salviae liguliobae,dan shen,,minor cold bitter,to remove blood stasis and relieve pain to promote the flow of blood and stimulate menstrual discharge and to ease the mind,angina pectoris cerebral atherosclerosis diffusive intravascular clotting thrombophlebitis hepatitis acute surgical infection mastitis erysipelas otitis media tonsillitis bone marrow infection menstrual disorder dysmenorrhea amenorrhea postpartum stasis stagnation abdominal pain pain in heart and abdomen concretion conglomeration accumulation and gathering heat impediment swelling and pain knocks and falls heat entering constructionblood vexation and agitation insomnia and vexation swelling toxin of welling abscess and sore zoster neurodermatitis psoriasis,blood activating stasis removing drugs
h00183,lysimachia candida,white pearlweed,dan tiao cao,,not specified,to clear heat and resolve toxin quicken blood and relieve pain disinhibit damp and disperse swelling,swelling pain in throat swelling toxin of welling abscess and sore mammary welling abscess poisonous snake bites fracture due to knocks and falls winddamp impediment pain beriberi with edema paddyfield dermatitis,not specified
h00184,vitex rotundifolia syn vitex trifollia var simplicifolia ,simpleleaf shrub chastetree,dan ye man jing,,not specified,not specified,not specified,not specified
h00185,ephedra monosperma,oneseed ephedra,dan zi ma huang,,not specified,see ephedra sinica,see ephedra sinica,not specified
h00186,radix angelicae sinensis,root of chinese angelica,dang gui,,warm pungent sweet,to enrich blood activate blood circulation regulate menstruation relieve pain and relax bowels,womens diseases blood deficiency syndrome menstrual disorder amenorrhea and dysmenorrhea dysmenorrhea due to anemia thrombophlebitis neuralgia arthritis chronic nephritis constrictive aortitis blood vaculty pernicious anemia anemia due to folic acid deficiency dysentery hepatitis raynauds disease lumbago various pains due to blood stasis and rheumatic impediment sores welling abscess constipation ulcer in gastrointestinal tract skin diseases eczema dermatitis neurodermatitis psoriasis,bloodtonifying medicinal
h00187,radix codonopsis pilosulae,root pilose asiabell,dang shen,,mild sweet,to reinforce qi and invigorate the function of the spleen and the lung,spleenstomach vacuity reduced food intake and sloppy stool lassitude in limbs cough and asthma due to lung vacuity shortness of breath and spontaneous sweating qiblood depletion,qi reinforcing drugs
h00188,rhizoma codonopsis pilosulae,rhizome of pilose asiabell,dang shen lu tou,,not specified,not specified,not specified,not specified
h00189,semen cavaliae,jack bean,dao dou,,not specified,to warm the stomach and check its upward adverse movement,vacuity cold and hiccough vomiting,qi regulating drugs
h00190,taraxacum obovatum,obovaleaf dandelion root,dao luan ye pu gong ying gen,,not specified,not specified,not specified,not specified
h00191,rhodiola atuntsuensis,atuntsuen rhodiola,de qin hong jing tian,,not specified,not specified,not specified,not specified
h00192,not specified,folium wrightiae laevis,deng tai ye,,not specified,not specified,not specified,not specified
h00193,medulla junci,pith of common rush,deng xin cao,,minor cold sweet neutral,to eliminate excess fire in the heart and to induce diuresis,strangury edema inhibited urination dampheat jaundice insomnia and vexation infant night crying throat impediment mouth sore wound,diuretic dampness excreting drugs
h00194,erigeron breviscapus,shortscape fleabane,deng zhan xi xin,,not specified,to dissipate cold and resolve exterior dispel wind and eliminate damp quicken network vessels and relieve pain disperse accumulation,common cold with headache and nasal congestion winddamp impediment pain paralysis acute gastritis child gan accumulation knocks and falls,not specified
h00195,herba hyperici japonici,all  grass of japanese st johnswort,di er cao,,not specified,1to deprive dampness and relieve jaundice 2 to clear away heat and toxic material 3 to promote blood circulation and relieve edema,dampheat jaundice diarrhea dysentery intestinal welling abscess pulmonary welling abscess swelling toxin of welling abscess and boil nipple moth mouth sore red eyes with gall poisonous snake bite knocks and falls,diuretic dampness excreting drugs
h00196,cortex illicii,difengpi bark,di feng pi,,warm slightly pungent punkery,to relieve rheumatic conditions and to promote the flow of qi and relieve pain,pain in joints due to rheumatalgia taxation damage in lumbar muscle centipede bite,winddampnessdispelling and colddispersing medicinal
h00197,fructus kochiae,fruit of belvedere,di fu zi,,cold bitter,to remove dampheat to dispel zvind and to relieve itching,inhibiting the growth of various dermatomyces in vitro,diuretic dampness excreting drugs
h00198,cortex lycii radicis,root  bark of chinese wolfberry,di gu pi,,cold sweet,to reduce heat in blood to relieve consumptive fever and to remove heat from the lung,1 its decoction infusion tincture and injection exert a hypotensive effect on anesthetized or unanesthetized animals2 antipyretic reducing vaccineinduced fever in rabbits3 its extract lowers serum cholesterol level in rabbits4 its decoction reduces blood sugar level in rabbits5 an active component betaine possesses a lipocaic effect,asthenic heat dispelling drugs
h00199,not specified,radix rehmanniae,di huang,,not specified,not specified,not specified,not specified
h00200,not specified,herba thymi mongolici,di jiao,,not specified,not specified,not specified,not specified
h00201,herba euphorbiae humifusae,all  grass of humifuse euphorbia,di jin cao,,mild pungent bitter,to remove toxic heat and to arrest bleeding by reducing heat in blood,dysentery enteritis hemoptysis hematuria hematochezia flooding and spotting swollen welling abscess sore and boil,antipyretic detoxicate drugs
h00202,cynanchum thesioides,bastardtoadflaxlike swallowwort,di shao gua,,not specified,to clear vacuity fire boost qi engender liquid promote lactation,upflaming vacuity fire throat pain qi and yin vacuity fatigued spirit and amnesia vacuity vexation and thirst dizziness and insomnia postpartum vacuity weakness scant breast milk,not specified
h00203,radix sanguisorbae,root of garden burnet,di yu,,minor cold sour bitter,to arrest bleeding by dispelling heat for blood and to counteract toxicity and cure sores,blood ejection hemoptysis duodenal ulcer spontaneous external bleeding hematuria hematochezia bleeding from hemorrhoids blood dysentery flooding and spotting red and white vaginal discharge swelling pain of welling abscess and sore eczema pudendal itch burns and scalds snake or insect bites,bloodcooling hemostatic medicinal
h00204,scutellaria amoena,yunnan skullcap,dian huang qin,,not specified,see scutellaria baicalensis,see scutellaria baicalensis,not specified
h00205,onosma paniculatum,paniculate onosma,dian zi cao,,not specified,to clear heat resolve toxin cool blood quicken blood,measles papules pneumonia febrile diseases macular eruption ulcerating sores eczema scalds,not specified
h00206,caulis erycibes,stem of taiwan erycibe,ding gong teng,,warm pungent,to dispel wind and deprive dampness reduce swelling relieve pain,winddamp impediment pain hemiplegia painful swelling from knocks and falls,winddampnessdispelling and colddispersing medicinal
h00207,flos caryophylli,clove,ding xiang,,warm pungent,to warm the spleen and stomach to regulate the adverse flow of the stomach qi and to restore the kidney yang,stomach cold with retching counterflow hiccough cold pain in stomach duct and abdomen reduced food intake and diarrhea kidney vacuity impotence vacuity cold in lumbus and knees yin flat abscess,warming interior drugs
h00208,oplopanax elatus,northeast spineginseng tall oplopanax,dong bei ci ren shen,,not specified,to supplement qi and reinforce yang  suppress cough free network vessels abate fever,qi vacuity and general weakness fatigued spirit and lassitude impotence vacuity cough windcolddamp impediment diabetes mellitus hypertension,not specified
h00209,not specified,radix tripterygii regeli,dong bei lei gong teng,,not specified,not specified,not specified,not specified
h00210,cordyceps,chinese caterpillar fungus,dong chong xia cao,,mild sweet,to tonify the lung and the kidney arrest bleeding and dispel phlegm,impotence and emission neurasthenia backache aching in lumbus and knees enduring cough and vacuity asthma taxation damage hemoptysis,yang reinforcing drugs
h00212,semen benincasae,seed of chinese waxgourd,dong gua ren,,minor cold sweet,for promoting diuresis and desolving inflammation,not specified,for promoting diuresis and penetrating dampness
h00213,fructus malvae,cluster mallow fruit,dong kui guo,,not specified,to remove heat and induce diuresis to relieve edema,treatment of urinary infection with oliguria edema and thirst,external medicinal draw out toxin resolve putridity
h00214,rabdosia rubescens,blushred rabdosia,dong ling cao,,not specified,to clear heat and resolve toxin quicken blood and relieve pain anticancer,swelling pain in throat common cold with headache trachitis chronic hepatitis pain in joints due to rheumatalgia snake or insect bites carcinoma of mammary glands carcinoma of esophagus,heat clearence
h00217,fructus amomi rotundus,round cardamon fruit,dou kou,,not specified,to resolve damp to remove stagnancy of food and to promote digestion,treatment of loss of appetite due to accumulation of turbid damp in the spleen and stomach feeling of suffocation in the chest with anorexia at the early stage of dampwarm syndromes nausea vomiting distension and pain in the chest and abdomen caused,dampness removing drugs
h00219,radix angelicae pubescentis,doubleteeth pubescent angelica root,du huo,,minor warm pungent bitter,to relieve rheumatic conditions and to remove obstruction from the channels and relieve pain,windcolddamp impediment especially in lower part of body pain in lumbus and knees headache toothache,winddampnessdispelling and colddispersing medicinal
