fhdi_food_id,food_name,scientific_name,common_name,description,group,subgroup,drug_homologous_food
f00074,carrot,daucus carota subsp sativus,not specified,the carrot daucus carota subsp sativus is a root vegetable usually orange in colour though purple red white and yellow varieties exist it has a crisp texture when fresh the most commonly eaten part of a carrot is a taproot although the greens are sometimes eaten as well it is a domesticated form of the wild carrot daucus carota native to europe and southwestern asia,vegetables,root vegetables,not specified
f00075,parsnip,pastinaca sativa,not specified,the parsnip is a root vegetable closely related to the carrot it is a biennial plant usually grown as an annual its long tuberous root has creamcolored skin and flesh and can be left in the ground when mature as it becomes sweeter in flavour after winter frosts,vegetables,root vegetables,not specified
f00076,parsley,petroselinum crispum,not specified,parsley or garden parsley petroselinum crispum is a species of petroselinum in the family apiaceae native to the central mediterranean region naturalized elsewhere in europe and widely cultivated as an herb a spice and a vegetable,vegetables,stalk vegetables,not specified
f00077,fig,ficus carica,not specified,the common fig ficus carica is a species of flowering plant in the genus ficus it is the source of the fruit also called the fig and as such is an important crop in those areas where it is grown commercially,fruits,other fruits,not specified
f00078,hedge mustard,sisymbrium,not specified,hedge mustard sisymbrium officinale is a plant in the family brassicaceae it is found on roadsides and wasteland and as a weed of arable land,vegetables,other seeds,not specified
f00079,chinese mustard,brassica juncea,not specified,brassica juncea also known as mustard greens indian mustard chinese mustard and leaf mustard is a species of mustard plant subvarieties include southern giant curled mustard which resembles a headless cabbage such as kale but with a distinct horseradishmustard flavor it is also known as green mustard cabbage,vegetables,cabbages,not specified
f00080,white wine,not specified,not specified,white wine is a wine that is fermented without skin contact the colour can be strawyellow yellowgreen or yellowgoldit is produced by the alcoholic fermentation of the noncoloured pulp of grapes which may have a skin of any colourwhite wine is mainly from white grapes which are green or yellow in colour such as the chardonnay sauvignon and riesling,beverages,fermented beverages,not specified
f00081,berry wine,not specified,not specified,not specified,beverages,fermented beverages,not specified
f00082,grape wine,not specified,not specified,wine is an alcoholic beverage made from fermented grapes or other fruits the natural chemical balance of grapes lets them ferment without the addition of sugars acids enzymes water or other nutrients yeast consumes the sugars in the grapes and converts them into alcohol and carbon dioxide different varieties of grapes and strains of yeasts produce different styles of wine,beverages,fermented beverages,not specified
f00083,port wine,not specified,not specified,port wine also known as vinho do porto portuguese pronunciation viudupotu porto and usually simply port is a portuguese fortified wine produced exclusively in the douro valley in the northern provinces of portugal it is typically a sweet red wine often served as a dessert wine though it also comes in dry semidry and white varieties,beverages,fortified wines,not specified
f00084,madeira wine,not specified,not specified,madeira is a fortified portuguese wine made in the madeira islands madeira is produced in a variety of styles ranging from dry wines which can be consumed on their own as an aperitif to sweet wines more usually consumed with dessert cheaper versions are often flavoured with salt and pepper for use in cooking,beverages,fortified wines,not specified
f00085,dessert wine,not specified,not specified,dessert wines sometimes called pudding wines are sweet wines typically served with dessert,beverages,fermented beverages,not specified
f00086,mandarin orange clementine tangerine,citrus reticulata,not specified,the mandarin orange also known as the mandarin or mandarine is a small citrus tree citrus reticulata with fruit resembling other oranges,fruits,citrus,not specified
f00087,sweet orange,citrus sinensis,not specified,the orange specifically the sweet orange is the fruit of the citrus species citrus  sinensis in the family rutaceaethe fruit of the citrus sinensis is considered a sweet orange whereas the fruit of the citrus aurantium is considered a bitter orange the orange is a hybrid possibly between pomelo citrus maxima and mandarin citrus reticulata which has been cultivated since ancient times,fruits,citrus,not specified
f00088,caviar,cyclopterus lumpus,not specified,not specified,aquatic foods,fishes,not specified
f00089,celery stalks,apium graveolens var dulce,not specified,celery apium graveolens var dulce is a plant variety in the family apiaceae commonly used as a vegetable celery is used around the world as a vegetable for the crisp petiole leaf stalk the leaves are strongly flavoured and are used less often either as a flavouring in soups and stews or as a dried herb,vegetables,stalk vegetables,not specified
f00090,liver broiler or fryer raw,gallus gallus domesticus,not specified,not specified,animal foods,poultry,not specified
f00091,liver duck raw,anas platyrhynchos,not specified,not specified,animal foods,poultry,not specified
f00092,liver goose raw,anser anser,not specified,not specified,animal foods,poultry,not specified
f00093,liver ox raw,bos taurus,not specified,not specified,animal foods,bovines,not specified
f00094,liver pig raw,sus scrofa domesticus,not specified,not specified,animal foods,swine,not specified
f00095,pudding,not specified,not specified,not specified,others,desserts,not specified
f00096,black pudding boiled,not specified,not specified,not specified,others,desserts,not specified
f00097,pepper capsicum frutescens,capsicum frutescens,not specified,capsicum frutescens is a species of chili pepper that is sometimes considered to be part of the species capsicum annuum pepper cultivars in capsicum frutescens can be annual or shortlived perennial plants,vegetables,fruit vegetables,it can be used as a fresh dish or seasoning and dried chilies and paprika are important chinese exports
f00098,blueberry,vaccinium myrtillus,not specified,bilberry is any of several species of lowgrowing shrubs in the genus vaccinium bearing edible berries the species most often referred to is vaccinium myrtillus l  but there are several other closely related species,fruits,berries,not specified
f00099,cocacola,not specified,not specified,the main ingredients of cola include water carbon dioxide carbohydrate sugars carbonated water caramel phosphoric acid and caffeine,beverages,carbonated beverages,not specified
f00100,sauerkraut,not specified,not specified,sauerkraut is a kind of pickled vegetable food which can be appetizers meals or used as seasoning to make dishes,vegetables,processed vegetables,not specified
f00101,pork sausage,not specified,not specified,not specified,animal foods,swine,not specified
f00102,pineapple,ananas comosus,not specified,the pineapple ananas comosus named for its resemblance to the pine cone is a tropical plant with edible multiple fruit consisting of coalesced berries and the most economically significant plant in the bromeliaceae family,fruits,tropical fruits,not specified
f00103,alcohol,not specified,not specified,a clear liquid that can make you drunk also used as a solvent  a substance that dissolves another and in fuel food and medicines,others,chemical compound,not specified
f00104,meal,not specified,not specified,eating without clear components in the information,food combination,uncategorised,not specified
f00105,highfat meal,not specified,not specified,fda highfat highcalorie meal consist of 8001000 kcal of which approximately 500600 kcal is derived from fat and 250 kcal from carbohydrates,food combination,highfat meal,not specified
f00106,aluminum,not specified,not specified,natural foods generally have low levels of aluminum the aluminum intake in human food mainly comes from aluminum containing food additives namely potassium alum aluminum potassium sulfate and ammonium alum aluminum ammonium sulfate,others,element,not specified
f00107,calcium,not specified,not specified,natural foods such as milk and yogurt contain the most calcium while other foods such as dried beans fish tofu dark vegetables such as cauliflower cabbage and kale are all rich in calcium in addition there are many foods fortified with calcium such as orange juice cranberry juice breakfast cereals etc some people also take calcium supplements to supplement their deficiencies,others,element,not specified
f00108,iodine,not specified,not specified,foods with high iodine content include plantbased foods in seafood animal based foods in marine foods dark vegetables and fruits the plantbased foods in seafood include seaweed seaweed seaweed seaweed and so on animal foods include sea fish shrimp and shellfish while dark vegetables include cabbage cabbage cauliflower and so on these foods have a particularly high iodine content and can provide the human body with abundant iodine fruits rich in iodine include bananas pineapples oranges grapes etc,others,element,not specified
f00109,iron,not specified,not specified,iron is widely present in various foods but its distribution is extremely uneven and the absorption rate varies greatly generally animal foods contain abundant and easily absorbed heme iron therefore good sources of iron in the diet are mainly animal liver animal whole blood poultry meat chicken gizzards cow kidneys etc and plant foods such as sesame paste cherry shepherds purse green amaranth etc,others,element,not specified
f00110,lithium,not specified,not specified,eggs milk dairy products fish potatoes and vegetables are rich in lithium,others,element,not specified
f00111,magnesium,not specified,not specified,magnesium is a mineral naturally present in many foods nuts legumes avocados bananas green peas swiss chard and spinach are rich in lithium,others,element,not specified
f00112,zinc,not specified,not specified,zinc is an important micronutrient that participates in multiple basic functions of the body when your dietary structure contains a large amount of all natural foods rich in zinc it is not difficult to meet the bodys zinc needs these all natural foods include animal based foods such as seafood and beef as well as plantbased foods such as beans nuts seeds dark chocolate and whole grains,others,element,not specified
f00113,highsalt meal,not specified,not specified,a highsalt meal refers to a higher amount of salt compared to a regular diet which may have a certain impact on body function,food combination,highsalt meal,not specified
f00114,vitamin b12,not specified,not specified,the vitamin b12 in the diet comes from animal food with the main food sources being meat fish poultry and eggs the content of milk and dairy products is relatively low plant based foods generally do not contain such vitamins,others,chemical compound,not specified
f00115,vitamin b3,not specified,not specified,vitamin b3 also known as niacin is commonly found in foods such as 1 fruits including figs or carrots as well as yellow fruits containing vitamin b3 2 other foods including grains milk meat beans liver etc also contain a large amount of vitamin b3,others,chemical compound,not specified
f00116,standard meal,not specified,not specified,the composition of standard meals varies from place to place but their nutrient ratios are roughly similar and balanced,food combination,standard meal,not specified
f00117,nutritional proteinrich drink,not specified,not specified,nutritional drink rich in proteins treatment d ensure 250 ml chocolate or vanilla 250 kcal 84 g fat 334 g carbohydrate 105 g protein,food combination,liquid meal,not specified
f00118,nonfat meal,not specified,not specified,nonfat meal refer to meals that do not contain or only contain a small amount of fat,food combination,nonfat meal,not specified
