fhdi_drug_id,drug_name,drug_dose,dosage_form,food_herb_id,food_herb_name,type,component,dose,time,effect,conclusion
d01217,warfarin,05 mgkg,not specified,h00804,caesalpinia sappan,herb,quercetin,1275 mgkg,once a day keep 5 days,possible,the current investigation confirmed serious drug herb interactions between warfarin and pomegranate peelthey can enhanced the anticoagulant activity of warfarin
d00299,pioglitazone,10 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,10 mgkg,not specified,possible,in conclusion addon preparations containing quercetin may increase the bioavailability of pioglitazone and hence should be cautiously used
d00299,pioglitazone,5 mgkg,injection,h00804,caesalpinia sappan,herb,quercetin,10 mgkg,not specified,possible,in conclusion addon preparations containing quercetin may increase the bioavailability of pioglitazone and hence should be cautiously used
d00543,etoposide,9 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,1 5 15 mgkg,not specified,possible,the enhanced oral bioavailability of etoposide by quercetin could mainly be due to inhibition of pgpmediated efflux and cyp3acatalyzed metabolism in the intestine by quercetin the dosage regimen of etoposide in cancer therapy should take drug interaction into consideration when etoposide is administered with quercetin or dietary supplements containing quercetin
d00894,cyclosporine,125 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,50 mgkg,not specified,possible,in conclusion quercetin and rutin decreased the bioavailability of csp through activating pgp and cyp3a transplant patients treated with neoral should avoid concurrent consumption of quercetin or rutin to minimize the risk of allograft rejection
d00531,doxorubicin,50 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,3 15 mgkg,not specified,possible,these results suggest that the quercetininduced increase in bioavailability of oral doxorubicin can be attributed to enhanced doxorubicin absorption in the gastrointestinal tract via quercetininduced inhibition of pgp and reduced firstpass metabolism of doxorubicin due to quercetininduced inhibition of cyp3a in the small intestine andor in the liver rather than reduced renal andor hepatic elimination of doxorubicin
d00894,cyclosporine,10 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,100 mgkg,coadministered 7 days,possible,it was demonstrated that que was able to reduce the bioavailability of csa following multiple concomitant doses in rats overlapping modulation of intestinal and hepatic drugmetabolizing enzymes dmes and drug transporters dts as well as the dmedt interplay are potential explanations for these observations
d00894,cyclosporine,10 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,25 mgkg,coadministered 7 days,possible,it was demonstrated that que was able to reduce the bioavailability of csa following multiple concomitant doses in rats overlapping modulation of intestinal and hepatic drugmetabolizing enzymes dmes and drug transporters dts as well as the dmedt interplay are potential explanations for these observations
d00894,cyclosporine,10 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,50 mgkg,coadministered 7 days,possible,it was demonstrated that que was able to reduce the bioavailability of csa following multiple concomitant doses in rats overlapping modulation of intestinal and hepatic drugmetabolizing enzymes dmes and drug transporters dts as well as the dmedt interplay are potential explanations for these observations
d01217,warfarin,not specified,oral,h00804,caesalpinia sappan,herb,quercetin,not specified,administration after 14 days of pretreatment,possible,quercetin que alters the pharmacokinetics of warfarin war warranting possibly war dose adjustment after confirmatory clinical investigations specifically in patients with thrombotic disorders and a pretreatment history of que or its product
