indication,state,fhdi_drug_id
schizophrenia icd11 6a20,approved,d00214
major depressive disorder icd11 6a703,approved,d00217
obesity icd11 5b81,approved,d00218
worm infection icd11 1f90z,approved,d00220
essential hypertension icd11 ba00,approved,d00221
ankylosing spondylitis icd11 fa920,approved,d00222
joint pain icd11 me82,approved,d00222
dysmenorrhea icd11 ga343,approved,d00223
malaria icd11 1f401f45,approved,d00224
alzheimer disease icd11 8a20,approved,d00225
pain icd11 mg30mg3z,approved,d00226
malaria icd11 1f401f45,approved,d00227
anxiety disorder icd11 6b006b0z,approved,d00227
ischemic reperfusion injury icd11 db98b,discontinued in phase 1,d00227
ulcerative colitis icd11 dd71,approved,d00228
ulcerative colitis icd11 dd71,approved,d01371
schizophrenia icd11 6a20,approved,d00229
type2 diabetes icd11 5a11,approved,d00230
dry cough icd11 md12,approved,d00231
glaucomaocular hypertension icd11 9c61,approved,d00232
musculoskeletal disorder icd11 fa00fc0z,approved,d00233
cutaneous tcell lymphoma icd11 2b01,approved,d00234
psoriasis vulgaris icd11 ea90,approved,d00234
anaesthesia icd11 9a786,approved,d00235
attention deficit hyperactivity disorder icd11 6a05z,approved,d00236
traumatic brain injury icd11 na07z,phase 4,d00236
insomnia icd11 7a007a0z,approved,d00237
nausea icd11 md90,approved,d00238
edema icd11 mg29,approved,d00239
hypertension icd11 ba00ba04,approved,d00239
hypertension icd11 ba00ba04,approved,d00240
amoebiasis icd11 1a36,approved,d00241
crohn disease icd11 dd70,phase 3,d00241
perianal crohn disease icd11 dd704,phase 3,d00241
cushing disease icd11 5a70,approved,d00242
ventricular tachycardia icd11 bc71,approved,d00243
fungal infection icd11 1f291f2f,approved,d00244
irritability icd11 mb24,approved,d00245
epilepsy icd11 8a608a68,phase 3,d00245
orthostatic hypotension icd11 ba21,approved,d00246
hypertension icd11 ba00ba04,approved,d00247
depression icd11 6a706a7z,approved,d00248
adrenocortical carcinoma icd11 2d11z,approved,d00249
depression icd11 6a706a7z,approved,d00250
skin imperfections icd11 ek71,patented,d00250
narcolepsy icd11 7a20,approved,d00251
bipolar disorder icd11 6a60,phase 4,d00251
brain injury icd11 na07z,investigative,d00251
narcolepsy icd11 7a20,approved,d00251
bipolar disorder icd11 6a60,phase 4,d00251
brain injury icd11 na07z,investigative,d00251
narcolepsy icd11 7a20,approved,d01372
bipolar disorder icd11 6a60,phase 4,d01372
brain injury icd11 na07z,investigative,d01372
narcolepsy icd11 7a20,approved,d01372
bipolar disorder icd11 6a60,phase 4,d01372
brain injury icd11 na07z,investigative,d01372
pain icd11 mg30mg3z,approved,d00252
pancreatitis icd11 dc31dc34,approved,d00253
sepsis icd11 1g401g41,discontinued in phase 2,d00253
urinary tract infection icd11 gc08,approved,d00254
migraine icd11 8a80,approved,d00255
major depressive disorder icd11 6a703,approved,d00256
depression icd11 6a706a7z,withdrawn from market,d00256
human immunodeficiency virus infection icd11 1c62,approved,d00257
high blood pressure icd11 ba00,approved,d00258
angina pectoris icd11 ba40,approved,d00259
prostate cancer icd11 2c820,approved,d00260
cerebral vasospasm icd11 ba85z,approved,d00262
hypertension icd11 ba00ba04,approved,d00263
epilepsy icd11 8a608a68,approved,d00264
insomnia icd11 7a007a0z,approved,d00264
hypertension icd11 ba00ba04,approved,d00265
diabetic foot ulcer icd11 bd54,approved,d00266
angina pectoris icd11 ba40,approved,d00266
bacterial infection icd11 1a001c4z,approved,d00267
depression icd11 6a706a7z,approved,d00268
bacterial infection icd11 1a001c4z,approved,d00270
gastroesophageal reflux disease icd11 da22z,approved,d00271
chemotherapyinduced nausea icd11 md90,approved,d00272
alcohol dependence icd11 6c402,phase 2,d00272
parkinson disease icd11 8a000,approved,d00273
rheumatoid arthritis icd11 fa20,approved,d00275
hay fever icd11 ca0800,approved,d00276
anxiety disorder icd11 6b006b0z,approved,d00277
hypertension icd11 ba00ba04,approved,d00278
arthritis icd11 fa20,approved,d00280
pulmonary and extrapulmonary tuberculosis icd11 1b10z,approved,d00281
inflammatory bowel disease icd11 dd72,approved,d00281
attention deficit hyperactivity disorder icd11 6a05z,approved,d00282
gastroesophageal reflux disease icd11 da22z,approved,d00283
hypertension icd11 ba00ba04,approved,d00284
skin imperfections icd11 ek71,patented,d00284
muscular dystrophy icd11 8c70,patented,d00284
attention deficit hyperactivity disorder icd11 6a05z,approved,d00285
insomnia icd11 7a007a0z,approved,d00286
intermittent claudication icd11 bd4000,approved,d00287
psychiatric disorder icd11 6e8z,approved,d00288
schizophrenia icd11 6a20,approved,d00289
epilepsy icd11 8a608a68,approved,d00290
analgesia icd11 mb408,withdrawn from market,d00291
pain icd11 mg30mg3z,approved,d00292
coagulation defect icd11 3b100,approved,d00293
pulmonary embolism icd11 bb00,approved,d00293
seizure disorder icd11 8a6z,approved,d00294
